normalized_name,source,identifier,n_papers_total,years_active,annual_counts,annual_norm,mean_norm_freq,trend_slope,cas,cas_method
trypsin,Promega,Cat# V5111,118,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 4, ""2018"": 6, ""2019"": 18, ""2020"": 20, ""2021"": 21, ""2022"": 9, ""2023"": 16, ""2024"": 11, ""2025"": 13}","{""2017"": 0.024691, ""2018"": 0.015831, ""2019"": 0.03056, ""2020"": 0.030628, ""2021"": 0.028112, ""2022"": 0.014041, ""2023"": 0.027875, ""2024"": 0.025287, ""2025"": 0.023766}",0.024532,4.514e-05,,not_found
insulin,Sigma-Aldrich,Cat# I9278,128,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 9, ""2019"": 10, ""2020"": 19, ""2021"": 21, ""2022"": 16, ""2023"": 14, ""2024"": 12, ""2025"": 24, ""2026"": 1}","{""2017"": 0.012346, ""2018"": 0.023747, ""2019"": 0.016978, ""2020"": 0.029096, ""2021"": 0.028112, ""2022"": 0.024961, ""2023"": 0.02439, ""2024"": 0.027586, ""2025"": 0.043876, ""2026"": 0.012346}",0.024344,0.00107075,9004-10-8,name
dtt,Sigma-Aldrich,Cat#R0861,99,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 4, ""2018"": 6, ""2019"": 9, ""2020"": 15, ""2021"": 9, ""2022"": 10, ""2023"": 16, ""2024"": 14, ""2025"": 12, ""2026"": 4}","{""2017"": 0.024691, ""2018"": 0.015831, ""2019"": 0.01528, ""2020"": 0.022971, ""2021"": 0.012048, ""2022"": 0.015601, ""2023"": 0.027875, ""2024"": 0.032184, ""2025"": 0.021938, ""2026"": 0.049383}",0.02378,0.0022288,27565-41-9,name
glycerol,Sigma-Aldrich,Cat#G5516,102,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 7, ""2019"": 6, ""2020"": 10, ""2021"": 15, ""2022"": 13, ""2023"": 18, ""2024"": 10, ""2025"": 17, ""2026"": 5}","{""2017"": 0.006173, ""2018"": 0.01847, ""2019"": 0.010187, ""2020"": 0.015314, ""2021"": 0.02008, ""2022"": 0.020281, ""2023"": 0.031359, ""2024"": 0.022989, ""2025"": 0.031079, ""2026"": 0.061728}",0.023766,0.0042461,56-81-5,sigma_sid
nacl,Sigma-Aldrich,Cat#S9888,128,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 7, ""2019"": 10, ""2020"": 14, ""2021"": 28, ""2022"": 13, ""2023"": 21, ""2024"": 13, ""2025"": 20, ""2026"": 1}","{""2017"": 0.006173, ""2018"": 0.01847, ""2019"": 0.016978, ""2020"": 0.02144, ""2021"": 0.037483, ""2022"": 0.020281, ""2023"": 0.036585, ""2024"": 0.029885, ""2025"": 0.036563, ""2026"": 0.012346}",0.02362,0.00166655,7647-14-5,sigma_sid
glycine,Sigma-Aldrich,G8898,104,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 9, ""2019"": 11, ""2020"": 9, ""2021"": 14, ""2022"": 10, ""2023"": 13, ""2024"": 13, ""2025"": 20, ""2026"": 4}","{""2017"": 0.006173, ""2018"": 0.023747, ""2019"": 0.018676, ""2020"": 0.013783, ""2021"": 0.018742, ""2022"": 0.015601, ""2023"": 0.022648, ""2024"": 0.029885, ""2025"": 0.036563, ""2026"": 0.049383}",0.02352,0.00338246,56-40-6,sigma_sid
sb431542,Tocris,Cat# 1614,76,"2019,2020,2021,2022,2023,2024,2025,2026","{""2019"": 7, ""2020"": 14, ""2021"": 6, ""2022"": 10, ""2023"": 14, ""2024"": 8, ""2025"": 12, ""2026"": 5}","{""2019"": 0.011885, ""2020"": 0.02144, ""2021"": 0.008032, ""2022"": 0.015601, ""2023"": 0.02439, ""2024"": 0.018391, ""2025"": 0.021938, ""2026"": 0.061728}",0.022926,0.00465791,301836-41-9,name
mg132,Sigma-Aldrich,Cat# M7449,105,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 7, ""2018"": 9, ""2019"": 20, ""2020"": 10, ""2021"": 12, ""2022"": 13, ""2023"": 11, ""2024"": 9, ""2025"": 13, ""2026"": 1}","{""2017"": 0.04321, ""2018"": 0.023747, ""2019"": 0.033956, ""2020"": 0.015314, ""2021"": 0.016064, ""2022"": 0.020281, ""2023"": 0.019164, ""2024"": 0.02069, ""2025"": 0.023766, ""2026"": 0.012346}",0.022854,-0.00198914,133407-82-6,name
ripa buffer,Thermo Fisher Scientific,Cat# R0278,102,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 3, ""2019"": 9, ""2020"": 9, ""2021"": 15, ""2022"": 7, ""2023"": 10, ""2024"": 14, ""2025"": 30, ""2026"": 4}","{""2017"": 0.006173, ""2018"": 0.007916, ""2019"": 0.01528, ""2020"": 0.013783, ""2021"": 0.02008, ""2022"": 0.01092, ""2023"": 0.017422, ""2024"": 0.032184, ""2025"": 0.054845, ""2026"": 0.049383}",0.022798,0.00487072,,not_found
rotenone,Sigma-Aldrich,Cat# R8875,97,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 5, ""2018"": 10, ""2019"": 14, ""2020"": 10, ""2021"": 16, ""2022"": 8, ""2023"": 11, ""2024"": 8, ""2025"": 12, ""2026"": 3}","{""2017"": 0.030864, ""2018"": 0.026385, ""2019"": 0.023769, ""2020"": 0.015314, ""2021"": 0.021419, ""2022"": 0.01248, ""2023"": 0.019164, ""2024"": 0.018391, ""2025"": 0.021938, ""2026"": 0.037037}",0.022676,8.7e-07,83-79-4,sigma_sid
dithiothreitol,Sigma-Aldrich,Cat# R0861,108,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 6, ""2019"": 12, ""2020"": 16, ""2021"": 19, ""2022"": 10, ""2023"": 13, ""2024"": 13, ""2025"": 15, ""2026"": 3}","{""2017"": 0.006173, ""2018"": 0.015831, ""2019"": 0.020374, ""2020"": 0.024502, ""2021"": 0.025435, ""2022"": 0.015601, ""2023"": 0.022648, ""2024"": 0.029885, ""2025"": 0.027422, ""2026"": 0.037037}",0.022491,0.00237016,3483-12-3,name
pbs,Gibco,Cat# 10010023,116,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 2, ""2019"": 5, ""2020"": 13, ""2021"": 22, ""2022"": 19, ""2023"": 12, ""2024"": 18, ""2025"": 23, ""2026"": 1}","{""2017"": 0.006173, ""2018"": 0.005277, ""2019"": 0.008489, ""2020"": 0.019908, ""2021"": 0.029451, ""2022"": 0.029641, ""2023"": 0.020906, ""2024"": 0.041379, ""2025"": 0.042048, ""2026"": 0.012346}",0.021562,0.00291263,,not_found
blasticidin,InvivoGen,Cat# ant-bl-1,94,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 6, ""2019"": 13, ""2020"": 12, ""2021"": 15, ""2022"": 13, ""2023"": 14, ""2024"": 5, ""2025"": 13, ""2026"": 3}","{""2018"": 0.015831, ""2019"": 0.022071, ""2020"": 0.018377, ""2021"": 0.02008, ""2022"": 0.020281, ""2023"": 0.02439, ""2024"": 0.011494, ""2025"": 0.023766, ""2026"": 0.037037}",0.021481,0.00134088,,not_found
nocodazole,Sigma-Aldrich,Cat# M1404,92,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 6, ""2018"": 14, ""2019"": 18, ""2020"": 9, ""2021"": 13, ""2022"": 13, ""2023"": 8, ""2024"": 6, ""2025"": 5}","{""2017"": 0.037037, ""2018"": 0.036939, ""2019"": 0.03056, ""2020"": 0.013783, ""2021"": 0.017403, ""2022"": 0.020281, ""2023"": 0.013937, ""2024"": 0.013793, ""2025"": 0.009141}",0.02143,-0.00346286,31430-18-9,sigma_sid
atp,Sigma-Aldrich,A2383,94,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 6, ""2018"": 6, ""2019"": 17, ""2020"": 13, ""2021"": 10, ""2022"": 15, ""2023"": 7, ""2024"": 11, ""2025"": 7, ""2026"": 2}","{""2017"": 0.037037, ""2018"": 0.015831, ""2019"": 0.028862, ""2020"": 0.019908, ""2021"": 0.013387, ""2022"": 0.023401, ""2023"": 0.012195, ""2024"": 0.025287, ""2025"": 0.012797, ""2026"": 0.024691}",0.02134,-0.00099,34369-07-8,sigma_sid
chloroform,Sigma-Aldrich,Cat# 650498,98,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 5, ""2019"": 8, ""2020"": 8, ""2021"": 11, ""2022"": 11, ""2023"": 15, ""2024"": 11, ""2025"": 25, ""2026"": 3}","{""2017"": 0.006173, ""2018"": 0.013193, ""2019"": 0.013582, ""2020"": 0.012251, ""2021"": 0.014726, ""2022"": 0.017161, ""2023"": 0.026132, ""2024"": 0.025287, ""2025"": 0.045704, ""2026"": 0.037037}",0.021125,0.00368461,67-66-3,sigma_sid
lipofectamine rnaimax,Invitrogen,Cat# 13778150,96,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 5, ""2019"": 14, ""2020"": 9, ""2021"": 14, ""2022"": 10, ""2023"": 14, ""2024"": 9, ""2025"": 16, ""2026"": 3}","{""2017"": 0.012346, ""2018"": 0.013193, ""2019"": 0.023769, ""2020"": 0.013783, ""2021"": 0.018742, ""2022"": 0.015601, ""2023"": 0.02439, ""2024"": 0.02069, ""2025"": 0.02925, ""2026"": 0.037037}",0.02088,0.00210856,,not_found
percoll,GE Healthcare,Cat# 17-0891-01,93,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 9, ""2019"": 7, ""2020"": 10, ""2021"": 13, ""2022"": 8, ""2023"": 14, ""2024"": 13, ""2025"": 15, ""2026"": 3}","{""2017"": 0.006173, ""2018"": 0.023747, ""2019"": 0.011885, ""2020"": 0.015314, ""2021"": 0.017403, ""2022"": 0.01248, ""2023"": 0.02439, ""2024"": 0.029885, ""2025"": 0.027422, ""2026"": 0.037037}",0.020574,0.0025201,65455-52-9,name
matrigel,Corning,Cat# 354234,98,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 5, ""2019"": 6, ""2020"": 11, ""2021"": 19, ""2022"": 17, ""2023"": 17, ""2024"": 10, ""2025"": 9, ""2026"": 3}","{""2017"": 0.006173, ""2018"": 0.013193, ""2019"": 0.010187, ""2020"": 0.016845, ""2021"": 0.025435, ""2022"": 0.026521, ""2023"": 0.029617, ""2024"": 0.022989, ""2025"": 0.016453, ""2026"": 0.037037}",0.020445,0.00244856,,not_found
antimycin a,Sigma-Aldrich,Cat# A8674,82,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 8, ""2019"": 11, ""2020"": 8, ""2021"": 15, ""2022"": 5, ""2023"": 9, ""2024"": 9, ""2025"": 11, ""2026"": 5}","{""2017"": 0.006173, ""2018"": 0.021108, ""2019"": 0.018676, ""2020"": 0.012251, ""2021"": 0.02008, ""2022"": 0.0078, ""2023"": 0.015679, ""2024"": 0.02069, ""2025"": 0.02011, ""2026"": 0.061728}",0.02043,0.00303688,1397-94-0,name
dexamethasone,Sigma-Aldrich,Cat# D4902,92,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 5, ""2019"": 7, ""2020"": 13, ""2021"": 14, ""2022"": 18, ""2023"": 9, ""2024"": 13, ""2025"": 8, ""2026"": 3}","{""2017"": 0.012346, ""2018"": 0.013193, ""2019"": 0.011885, ""2020"": 0.019908, ""2021"": 0.018742, ""2022"": 0.028081, ""2023"": 0.015679, ""2024"": 0.029885, ""2025"": 0.014625, ""2026"": 0.037037}",0.020138,0.00193277,50-02-2,sigma_sid
brefeldin a,Sigma-Aldrich,Cat#420601,104,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 7, ""2019"": 14, ""2020"": 22, ""2021"": 17, ""2022"": 11, ""2023"": 15, ""2024"": 4, ""2025"": 13}","{""2017"": 0.006173, ""2018"": 0.01847, ""2019"": 0.023769, ""2020"": 0.033691, ""2021"": 0.022758, ""2022"": 0.017161, ""2023"": 0.026132, ""2024"": 0.009195, ""2025"": 0.023766}",0.020124,0.00051244,,not_found
normal donkey serum,Jackson ImmunoResearch,Cat#017-000-121,70,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 2, ""2019"": 3, ""2020"": 6, ""2021"": 8, ""2022"": 9, ""2023"": 12, ""2024"": 15, ""2025"": 8, ""2026"": 6}","{""2017"": 0.006173, ""2018"": 0.005277, ""2019"": 0.005093, ""2020"": 0.009188, ""2021"": 0.01071, ""2022"": 0.014041, ""2023"": 0.020906, ""2024"": 0.034483, ""2025"": 0.014625, ""2026"": 0.074074}",0.019457,0.00522412,,not_found
formaldehyde,Sigma-Aldrich,F8775,104,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 4, ""2019"": 9, ""2020"": 13, ""2021"": 17, ""2022"": 12, ""2023"": 22, ""2024"": 10, ""2025"": 15, ""2026"": 1}","{""2017"": 0.006173, ""2018"": 0.010554, ""2019"": 0.01528, ""2020"": 0.019908, ""2021"": 0.022758, ""2022"": 0.018721, ""2023"": 0.038328, ""2024"": 0.022989, ""2025"": 0.027422, ""2026"": 0.012346}",0.019448,0.00159634,50-00-0,sigma_sid
doxycycline hyclate,Sigma-Aldrich,Cat# D9891,80,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 4, ""2018"": 11, ""2019"": 8, ""2020"": 15, ""2021"": 8, ""2022"": 4, ""2023"": 13, ""2024"": 4, ""2025"": 10, ""2026"": 3}","{""2017"": 0.024691, ""2018"": 0.029024, ""2019"": 0.013582, ""2020"": 0.022971, ""2021"": 0.01071, ""2022"": 0.00624, ""2023"": 0.022648, ""2024"": 0.009195, ""2025"": 0.018282, ""2026"": 0.037037}",0.019438,5.178e-05,24390-14-5,name
ionomycin,Sigma-Aldrich,Cat# I0634,94,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 2, ""2018"": 12, ""2019"": 13, ""2020"": 10, ""2021"": 17, ""2022"": 18, ""2023"": 9, ""2024"": 4, ""2025"": 9}","{""2017"": 0.012346, ""2018"": 0.031662, ""2019"": 0.022071, ""2020"": 0.015314, ""2021"": 0.022758, ""2022"": 0.028081, ""2023"": 0.015679, ""2024"": 0.009195, ""2025"": 0.016453}",0.019284,-0.00084977,1315085-41-6,sigma_sid
y-27632,Tocris,Cat# 1254,85,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 4, ""2019"": 6, ""2020"": 13, ""2021"": 13, ""2022"": 15, ""2023"": 9, ""2024"": 7, ""2025"": 13, ""2026"": 4}","{""2017"": 0.006173, ""2018"": 0.010554, ""2019"": 0.010187, ""2020"": 0.019908, ""2021"": 0.017403, ""2022"": 0.023401, ""2023"": 0.015679, ""2024"": 0.016092, ""2025"": 0.023766, ""2026"": 0.049383}",0.019255,0.00305582,146986-50-7,name
rapamycin,LC Laboratories,Cat# R-5000,90,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 6, ""2018"": 9, ""2019"": 14, ""2020"": 12, ""2021"": 16, ""2022"": 13, ""2023"": 13, ""2024"": 3, ""2025"": 3, ""2026"": 1}","{""2017"": 0.037037, ""2018"": 0.023747, ""2019"": 0.023769, ""2020"": 0.018377, ""2021"": 0.021419, ""2022"": 0.020281, ""2023"": 0.022648, ""2024"": 0.006897, ""2025"": 0.005484, ""2026"": 0.012346}",0.0192,-0.00256209,53123-88-9,name
heparin,Sigma-Aldrich,Cat#H3149,80,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 3, ""2019"": 8, ""2020"": 11, ""2021"": 16, ""2022"": 11, ""2023"": 11, ""2024"": 5, ""2025"": 9, ""2026"": 5}","{""2017"": 0.006173, ""2018"": 0.007916, ""2019"": 0.013582, ""2020"": 0.016845, ""2021"": 0.021419, ""2022"": 0.017161, ""2023"": 0.019164, ""2024"": 0.011494, ""2025"": 0.016453, ""2026"": 0.061728}",0.019194,0.00334558,,not_found
t4 polynucleotide kinase,NEB,Cat# M0201S,76,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 7, ""2019"": 7, ""2020"": 4, ""2021"": 6, ""2022"": 12, ""2023"": 9, ""2024"": 6, ""2025"": 19, ""2026"": 4}","{""2017"": 0.012346, ""2018"": 0.01847, ""2019"": 0.011885, ""2020"": 0.006126, ""2021"": 0.008032, ""2022"": 0.018721, ""2023"": 0.015679, ""2024"": 0.013793, ""2025"": 0.034735, ""2026"": 0.049383}",0.018917,0.00300656,,not_found
triton x-,MP Biomedicals,9002-93-1,8,"2022,2025,2026","{""2022"": 1, ""2025"": 3, ""2026"": 4}","{""2022"": 0.00156, ""2025"": 0.005484, ""2026"": 0.049383}",0.018809,0.00949854,,not_found
acetonitrile,Fisher Scientific,Cat# 10489553,77,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 3, ""2018"": 6, ""2019"": 8, ""2020"": 8, ""2021"": 9, ""2022"": 5, ""2023"": 13, ""2024"": 11, ""2025"": 11, ""2026"": 3}","{""2017"": 0.018519, ""2018"": 0.015831, ""2019"": 0.013582, ""2020"": 0.012251, ""2021"": 0.012048, ""2022"": 0.0078, ""2023"": 0.022648, ""2024"": 0.025287, ""2025"": 0.02011, ""2026"": 0.037037}",0.018511,0.0017096,75-05-8,name
complete protease inhibitor cocktail,Roche,11697498001,75,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 10, ""2018"": 6, ""2019"": 6, ""2020"": 11, ""2021"": 14, ""2022"": 9, ""2023"": 7, ""2024"": 5, ""2025"": 6, ""2026"": 1}","{""2017"": 0.061728, ""2018"": 0.015831, ""2019"": 0.010187, ""2020"": 0.016845, ""2021"": 0.018742, ""2022"": 0.014041, ""2023"": 0.012195, ""2024"": 0.011494, ""2025"": 0.010969, ""2026"": 0.012346}",0.018438,-0.0029733,,not_found
glucose,Sigma,G7021,88,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 5, ""2019"": 11, ""2020"": 9, ""2021"": 13, ""2022"": 10, ""2023"": 9, ""2024"": 14, ""2025"": 14, ""2026"": 2}","{""2017"": 0.006173, ""2018"": 0.013193, ""2019"": 0.018676, ""2020"": 0.013783, ""2021"": 0.017403, ""2022"": 0.015601, ""2023"": 0.015679, ""2024"": 0.032184, ""2025"": 0.025594, ""2026"": 0.024691}",0.018298,0.00196913,492-62-6,sigma_sid
ethanol,Sigma-Aldrich,E7023,76,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 4, ""2019"": 1, ""2020"": 8, ""2021"": 11, ""2022"": 11, ""2023"": 18, ""2024"": 4, ""2025"": 16, ""2026"": 3}","{""2018"": 0.010554, ""2019"": 0.001698, ""2020"": 0.012251, ""2021"": 0.014726, ""2022"": 0.017161, ""2023"": 0.031359, ""2024"": 0.009195, ""2025"": 0.02925, ""2026"": 0.037037}",0.018137,0.00331853,64-17-5,sigma_sid
hygromycin b,Thermo Fisher Scientific,Cat#10687010,92,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 3, ""2018"": 9, ""2019"": 9, ""2020"": 17, ""2021"": 19, ""2022"": 11, ""2023"": 14, ""2024"": 3, ""2025"": 6, ""2026"": 1}","{""2017"": 0.018519, ""2018"": 0.023747, ""2019"": 0.01528, ""2020"": 0.026034, ""2021"": 0.025435, ""2022"": 0.017161, ""2023"": 0.02439, ""2024"": 0.006897, ""2025"": 0.010969, ""2026"": 0.012346}",0.018078,-0.00121286,31282-04-9,name
β-mercaptoethanol,Sigma-Aldrich,Cat#M6250,82,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 1, ""2019"": 8, ""2020"": 9, ""2021"": 10, ""2022"": 13, ""2023"": 17, ""2024"": 6, ""2025"": 16, ""2026"": 2}","{""2018"": 0.002639, ""2019"": 0.013582, ""2020"": 0.013783, ""2021"": 0.013387, ""2022"": 0.020281, ""2023"": 0.029617, ""2024"": 0.013793, ""2025"": 0.02925, ""2026"": 0.024691}",0.017891,0.00252444,,not_found
puromycin dihydrochloride,Sigma-Aldrich,Cat# P8833,85,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 4, ""2019"": 6, ""2020"": 11, ""2021"": 11, ""2022"": 12, ""2023"": 15, ""2024"": 9, ""2025"": 13, ""2026"": 2}","{""2017"": 0.012346, ""2018"": 0.010554, ""2019"": 0.010187, ""2020"": 0.016845, ""2021"": 0.014726, ""2022"": 0.018721, ""2023"": 0.026132, ""2024"": 0.02069, ""2025"": 0.023766, ""2026"": 0.024691}",0.017866,0.00174524,58-58-2,sigma_sid
opti-mem,Gibco,Cat#31985070,85,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 4, ""2019"": 11, ""2020"": 9, ""2021"": 13, ""2022"": 13, ""2023"": 10, ""2024"": 11, ""2025"": 13, ""2026"": 1}","{""2018"": 0.010554, ""2019"": 0.018676, ""2020"": 0.013783, ""2021"": 0.017403, ""2022"": 0.020281, ""2023"": 0.017422, ""2024"": 0.025287, ""2025"": 0.023766, ""2026"": 0.012346}",0.017724,0.00075776,,not_found
oligomycin,Sigma,Cat# O4876,77,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 8, ""2019"": 10, ""2020"": 5, ""2021"": 12, ""2022"": 9, ""2023"": 11, ""2024"": 9, ""2025"": 9, ""2026"": 3}","{""2017"": 0.006173, ""2018"": 0.021108, ""2019"": 0.016978, ""2020"": 0.007657, ""2021"": 0.016064, ""2022"": 0.014041, ""2023"": 0.019164, ""2024"": 0.02069, ""2025"": 0.016453, ""2026"": 0.037037}",0.017536,0.00179545,,not_found
rpmi 1640,Corning,Cat#11875093,84,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 4, ""2019"": 8, ""2020"": 7, ""2021"": 17, ""2022"": 10, ""2023"": 9, ""2024"": 11, ""2025"": 17, ""2026"": 1}","{""2018"": 0.010554, ""2019"": 0.013582, ""2020"": 0.01072, ""2021"": 0.022758, ""2022"": 0.015601, ""2023"": 0.015679, ""2024"": 0.025287, ""2025"": 0.031079, ""2026"": 0.012346}",0.017512,0.00136187,,not_found
trypsin-edta,Gibco,Cat#2259288,83,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 4, ""2019"": 8, ""2020"": 4, ""2021"": 13, ""2022"": 16, ""2023"": 15, ""2024"": 10, ""2025"": 12, ""2026"": 1}","{""2018"": 0.010554, ""2019"": 0.013582, ""2020"": 0.006126, ""2021"": 0.017403, ""2022"": 0.024961, ""2023"": 0.026132, ""2024"": 0.022989, ""2025"": 0.021938, ""2026"": 0.012346}",0.017337,0.0012448,,not_found
phosphate buffered saline,Sigma-Aldrich,Cat# 10010023,77,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 2, ""2019"": 2, ""2020"": 4, ""2021"": 15, ""2022"": 18, ""2023"": 12, ""2024"": 10, ""2025"": 12, ""2026"": 2}","{""2018"": 0.005277, ""2019"": 0.003396, ""2020"": 0.006126, ""2021"": 0.02008, ""2022"": 0.028081, ""2023"": 0.020906, ""2024"": 0.022989, ""2025"": 0.021938, ""2026"": 0.024691}",0.017054,0.00279726,,name
pmsf,Sigma-Aldrich,Cat# P7626,68,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 3, ""2018"": 6, ""2019"": 11, ""2020"": 10, ""2021"": 6, ""2022"": 4, ""2023"": 10, ""2024"": 8, ""2025"": 7, ""2026"": 3}","{""2017"": 0.018519, ""2018"": 0.015831, ""2019"": 0.018676, ""2020"": 0.015314, ""2021"": 0.008032, ""2022"": 0.00624, ""2023"": 0.017422, ""2024"": 0.018391, ""2025"": 0.012797, ""2026"": 0.037037}",0.016826,0.00090021,329-98-6,sigma_sid
tween-20,Sigma-Aldrich,P9416,69,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 5, ""2019"": 7, ""2020"": 8, ""2021"": 17, ""2022"": 10, ""2023"": 6, ""2024"": 8, ""2025"": 5, ""2026"": 3}","{""2018"": 0.013193, ""2019"": 0.011885, ""2020"": 0.012251, ""2021"": 0.022758, ""2022"": 0.015601, ""2023"": 0.010453, ""2024"": 0.018391, ""2025"": 0.009141, ""2026"": 0.037037}",0.016745,0.00145202,,not_found
normal goat serum,Vector Laboratories,Cat# 50062Z,82,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 3, ""2019"": 10, ""2020"": 12, ""2021"": 14, ""2022"": 11, ""2023"": 9, ""2024"": 6, ""2025"": 14, ""2026"": 2}","{""2017"": 0.006173, ""2018"": 0.007916, ""2019"": 0.016978, ""2020"": 0.018377, ""2021"": 0.018742, ""2022"": 0.017161, ""2023"": 0.015679, ""2024"": 0.013793, ""2025"": 0.025594, ""2026"": 0.024691}",0.01651,0.00160497,,not_found
rpmi 1640 medium,Gibco,Cat# 11875093,69,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 2, ""2019"": 4, ""2020"": 10, ""2021"": 11, ""2022"": 9, ""2023"": 10, ""2024"": 6, ""2025"": 12, ""2026"": 4}","{""2017"": 0.006173, ""2018"": 0.005277, ""2019"": 0.006791, ""2020"": 0.015314, ""2021"": 0.014726, ""2022"": 0.014041, ""2023"": 0.017422, ""2024"": 0.013793, ""2025"": 0.021938, ""2026"": 0.049383}",0.016486,0.00331007,,not_found
egf,PeproTech,Cat# AF-100-15,78,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 6, ""2019"": 6, ""2020"": 16, ""2021"": 14, ""2022"": 7, ""2023"": 7, ""2024"": 5, ""2025"": 13, ""2026"": 2}","{""2017"": 0.012346, ""2018"": 0.015831, ""2019"": 0.010187, ""2020"": 0.024502, ""2021"": 0.018742, ""2022"": 0.01092, ""2023"": 0.012195, ""2024"": 0.011494, ""2025"": 0.023766, ""2026"": 0.024691}",0.016467,0.00077848,,not_found
poly-l-lysine,Sigma-Aldrich,Cat#P2636,71,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 8, ""2019"": 14, ""2020"": 6, ""2021"": 7, ""2022"": 11, ""2023"": 6, ""2024"": 5, ""2025"": 10, ""2026"": 3}","{""2017"": 0.006173, ""2018"": 0.021108, ""2019"": 0.023769, ""2020"": 0.009188, ""2021"": 0.009371, ""2022"": 0.017161, ""2023"": 0.010453, ""2024"": 0.011494, ""2025"": 0.018282, ""2026"": 0.037037}",0.016404,0.00126182,,not_found
laminin,Sigma-Aldrich,Cat#L2020,76,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 4, ""2019"": 12, ""2020"": 12, ""2021"": 11, ""2022"": 9, ""2023"": 13, ""2024"": 5, ""2025"": 10}","{""2018"": 0.010554, ""2019"": 0.020374, ""2020"": 0.018377, ""2021"": 0.014726, ""2022"": 0.014041, ""2023"": 0.022648, ""2024"": 0.011494, ""2025"": 0.018282}",0.016312,0.00025982,,name
